address,city,lat,long,name,province
5805 Adelaida Rd,Paso Robles,35.649284,-120.80133300000001,Adelaida Cellars Inc,CA
2314 Rutland Dr,Austin,30.382618,-97.7201,Adelbert's Brewery,TX
202 W A Main St,Gouverneur,44.331444,-75.47606,Adirondack Toboggan Company Microbrewery,NY
1468 Airport Rd,Worland,43.971117,-107.95031100000001,Admiral Beverage Aviation,WY
404 Browning Ct,Purcellville,39.14392838,-77.72016151,Adroit Theory Brewing Company,VA
 Po Box 9517,Bakersfield,35.3538,-119.0615,Advance Beverage Co,CA
2403 Walnut Ridge St,Dallas,32.88393,-96.896794,Advanced Beverages,TX
33 Perchwood Dr,Fredericksburg,38.384518,-77.44055,Adventure Brewing Co,VA
23869 Van Born Rd,Taylor,42.268993,-83.268241,Adventures In Home Brewing,MI
1072 288th Ave,Burlington,42.642658000000004,-88.160186,Aeppeltreow Winery,WI
140 Cleveland Ave,Auburn,38.901223,-121.067931,Aero Brewing Co,CA
401 E Main St,Louisville,38.25546253,-85.74413399,Against The Grain Brewery & Smokehouse,KY
1098 Nick Young Rd,Eaglepoint,42.462094,-122.834767,Agate Ridge Vineyards,OR
31115 W Corssroads Ln,Eugene,44.189133,-123.12815,Agrarian Ales Brewing Company,OR
99 Navarino St,Algoma,44.609127,-87.43505,Ahnapee Brewery,WI
140 Laurens St S W,Aiken,33.56035316,-81.72272865,Aiken Brewing Company,SC
405 N Main St,Brewer,44.80064,-68.75351500000001,Airline Pharmacy,ME
6644 S 196th St,Kent,47.426686,-122.252091,Airways Brewing Co,WA
4980 E 22nd St,Tucson,32.206853,-110.88705700000001,Al J's Tavern,AZ
110 Commerce St S,Hayneville,32.1878,-86.6643,Alabama Abc Board,AL
4476 Shipyard Rd,Mobile,30.598187,-88.14192,Alabama Crown Distributing Co.,AL
4765 N E Fremont St,Portland,45.548482,-122.613646,Alameda Brewhouse,OR
1716 Park St,Alameda,37.768253,-122.2394,Alameda Island Brewing Company,CA
202 Lamar St,San Antonio,29.431126000000003,-98.47728000000001,Alamo Beer Company,TX
323 Broadway St,San Antonio,29.429732,-98.486465,Alamo Draft House San Antonio,TX
269 County Road 627,Milford,40.617,-75.1626,Alba Vineyard,NJ
19 Quackenbush Sq,Albany,42.654022,-73.74771700000001,Albany Pump Station,NY
8290 Hwy 51 S,Minocqua,45.86458,-89.70859,Albee's Yacht Club,WI
8114 35th St,Colfax,44.9584,-91.601,Albertville Tavern,WI
11 Benton Ave E,Albia,41.02714425,-92.80778374,Albia Brewing Company,IA
1801 Tuscarawas St W,Canton,40.8004,-81.39322,Alcarr Lounge,OH
20 W City Blvd (the Block At Orange),Orange,33.78297738,-117.8920072,Alcatraz Brewing Co,CA
35 Crossroad,Waterbury,44.350471,-72.743821,Alchemist Cannery,VT
23 S Main Saint 2,Waterbury,44.337187,-72.756029,Alchemist Pub and Brewery,VT
555 Centennial Ave,Hanover,39.790599,-76.9769,Aldus Brewing Co,PA
1590 N E Weston Court The Double Tree Hotel,Salem,44.995476000000004,-122.96328999999999,Ale Ways Brewery Tours,OR
500 Winslow Way E,Bainbridgeisle,47.624635,-122.51378700000001,Alehouse On Winslow,WA
9990 Alesmith Ct,San Diego,32.8877296,-117.1493835,Alesmith Brewing Company,CA
189 Ewell Rd,Williamsburg,37.321053000000006,-76.73323,Alewerks,VA
5490 Fenton Rd,Flint,42.946213,-83.69218000000001,Alexander J's,MI
132 E Crawford St,Findlay,41.03788507,-83.64872728,Alexandria���s,OH
204 E Enterprise,Incline Village,39.247444,-119.9535,Alibi Ale Works Brewery,NV
2422 Main St,Springfield,44.045856,-122.99004,Alibi Tavern,OR
271 Pitcher Ln,Redhook,42.03008,-73.850634,Alison Wines & Vineyards,NY
1410 E Highway 90a,Richmond,29.595352000000002,-95.739223,All About Brew,TX
700 N Johnson Ave,El Cajon,32.804488,-116.97124199999999,All About Brewing,CA
601 N L St,Oskaloosa,41.29936,-92.659172,All About You,IA
11915 Hopi Rd N E,Albuquerque,35.072998,-106.514797,All Around Window Tinting,NM
10601 San Jose Blvd,Jacksonville,30.18505087,-81.62570357,Allegro Coffee Company,FL
4111 Martin Mill Pike,Knoxville,35.93411,-83.91351,Allen Biermakens,TN
3540 Oak Forest Dr,Houston,29.819868,-95.436213,Allen's Land Brewing Co,TX
555 Rolling Hills Ln,Winchester,38.012276,-84.177555,Alltech,KY
1201 Story Ave,Louisville,38.255707,-85.729108,Alltech Beverage Div,KY
361 Rolling Hills Ln,Winchester,38.017919,-84.17751899999999,Alltech Inc,KY
401 Cross St,Lexington,38.05011,-84.50883,Alltech's Lexington Brewing Company,KY
2325 3rd St,San Francisco,37.76040071,-122.3878412,Almanac Beer Co,CA
1409 Washington Ave,Stlouis,38.632546000000005,-90.199855,Alpha Brewery Co,MO
2351 Alpine Blvd,Alpine,32.835386,-116.76588000000001,Alpine Beer Co,CA
1347 Tavern Rd,Alpine,32.83713459,-116.77617679999999,Alpine Beer Company Pub,CA
1804 Albia Rd,Ottumwa,41.009175,-92.448138,Alpine Inn,IA
114 State St,Brewer,44.792274,-68.757805,Alpine Travel Services Inc,ME
Po Box 50508,Phoenix,33.35,-111.98,Altered Element - Commercial & Residential Only,AZ
4450 South Blvd,Charlotte,35.181919,-80.875905,Alternative Beverage,NC
9310 Pacific St,Plymouth,38.475316,-120.84981299999998,Amador Vintners Assn,CA
1060 N E 25th Ave,Hillsboro,45.53261,-122.95697,Ambacht Brewing,OR
1201 Commerce Blvd,Americancanyon,38.190829,-122.274542,Amcan Beverages Inc,CA
27560 Groesbeck Hwy,Roseville,42.498053000000006,-82.965843,American Beverage Equipment Co,MI
301 Canal St,Somerville,42.39387423,-71.08039825,American Fresh Brewhouse Beer Garden,MA
10725 Sutter Ave,Pacoima,34.264558,-118.419574,American Fruits & Flavors,CA
9295 Chesapeake Dr,San Diego,32.837446,-117.12843400000001,American Home Brewing Supply Inc,CA
1510 Swasey St,Hudson,44.955257,-92.7385,American Sky Brewing Co,WI
4367 E Covert Rd,Interlaken,42.577216,-76.674851,Americana Vineyards & Winery,NY
3200 Ameristar Dr,Kansas City,39.15101932,-94.4851642,Amerisports Brew Pub,MO
136 E 2nd St,Salida,38.53504174,-105.9918297,Amica's Wood Fired Pizza & Microbrews,CO
6372 S Nogales Hwy,Tucson,32.136115999999994,-110.96186000000002,Amigos Burgers and Beer,AZ
18150 S E Amity Vineyards Rd,Amity,45.127916,-123.193621,Amity Vineyards,OR
18 Mill St,Littleton,44.305994,-71.771244,Ammonoosuc Beer Project Llc,NH
2828 Us Highway 70 S W,Hickory,35.72119,-81.387226,Amos Howard's Restaurant,NC
4150 Mission Blvd,San Diego,32.79107169,-117.2543335,Amplified Ale Works,CA
567 Mitchell Way Ct,Cincinnati,39.10433467,-84.63166326,AMPM Brewery,OH
472 E Main St,Ventura,34.280678,-119.29359,Anacapa Brewing Company,CA
320 Commercial Ave,Anacortes,48.519374,-122.61286000000001,Anacortes Brewery,WA
336 S Anaheim Blvd,Anaheim,33.832695,-117.91243999999999,Anaheim Brewery,CA
 Terminal 3 (sfo Airport),San Francisco,37.618846000000005,-122.38583899999999,Anchor Brewing Co,CA
1705 Mariposa St,San Francisco,37.763504,-122.401353,Anchor Brewing Company,CA
17700 Hwy 253,Boonville,39.00074292,-123.35676670000001,Anderson Valley Brewing Company,CA
4162 Big Ranch Rd,Napa,38.354749,-122.30751000000001,Andretti Winery,CA
575 Aquone Rd,Andrews,35.199078,-83.8133,Andrews Brewing Company,NC
254 Junior Beck Dr,Corpus Christi,27.761020000000002,-97.468915,Andrews Distributing,TX
103 W 1st St,Portangeles,48.119099,-123.433723,Angeles Brewing Supplies,WA
306 S Main St,Gifford,40.305333000000005,-88.02154200000001,Angie's Homestead,IL
301 W Main St,Balsam Lake,45.453224,-92.45716999999999,Angler's Inn,WI
6401 N Florida Ave,Tampa,28.005164,-82.459311,Angry Chair Brewery,FL
10 Millpond Doctor 8,Lafayette,41.093720000000005,-74.71685,Angry Erik Brewing,NJ
10 Millpond Dr,Lafayette,41.09340308,-74.71711769,Angry Eriks Brewing,NJ
2405 1st Ave N,Billings,45.784554,-108.50142,Angry Hank's Micro Brewery,MT
10440 Florida Ave,Hayward,46.011012,-91.489909,Angry Minnow,WI
2595 N Ellison Dr,San Antonio,29.462977000000002,-98.698035,Anheuser-busch,TX
111 Busch Dr,Jacksonville,30.430341,-81.646682,Anheuser-busch Brewery,FL
100 Busch Dr N E,Cartersville,34.25572668,-84.78355408,Anheuser-busch Brewery Cartersville,GA
221 Daniel Webster Hwy,Merrimack,42.82352959,-71.48749887,"Anheuser-busch Brewery Experiences, Budweiser Brewery Tours",NH
1 Busch Pl,Saint Louis,38.5974,-90.2102,Anheuser-busch Co Inc,MO
250 Park Ave Fl2,New York,40.755123,-73.97583,Anheuser-busch In Bev,NY
1382 Pawnee Pointe Ct,Tallahassee,30.509844,-84.256141,Anheuser-busch Inc,FL
2700 S Broadway,St Louis,38.599236,-90.207441,Anheuser-busch Promotional,MO
16 211 Wiliama Pl,Keaau,19.637696,-155.044291,Anheuser-busch Sales,HI
1175 8th Ave,Marion,42.03385638,-91.59744623,Another Road Brewing,IA
1544 N E Piedmont Ave 211,Atlanta,33.796912,-84.369376,Ansley Wine Merchants,GA
908 S W 4th St,Oklahoma City,35.46089716,-97.52893925,Anthem Brewing Company,OK
12300 Las Vegas Blvd S,Henderson,35.964779,-115.168524,"Anthony's Gourmet Burgers & Brews, M Pool, Jayde Fuzion, M Resort Spa Casino, Ravello Lounge, 32�� Draft Bar, Daydream Pool Club, M Bar, Spa Mio, Anthony���s Prime Steak & Seafood, Baby Cakes, Vig Deli, M Resort Pool, Vice Shop, Studio B Buffet",NV
456 Montgomery Ave,Bridgeville,40.374789,-80.094646,A-plus Quality Window Tint,PA
50 W Chestnut Saint 3rd Ave 2nd Fl,Collegeville,40.185349,-75.452986,Appalachian Brewing,PA
3721 Market St,Camp Hill,40.23860769,-76.94608509999999,Appalachian Brewing Company,PA
1550 Zion Rd,Fayetteville,36.12955292,-94.13756496,Apple Blossom Brewing Company,AR
1900 Adams Saint (at Hwy 22),Mankato,44.17078505,-93.94838333,Applebee's,MN
82 Four Corners Rd,Warwick,41.295507,-74.314658,Applewood Orchards,NY
114 E Washington St,Ann Arbor,42.28042049,-83.74779224,Arbor Brewing Company,MI
720 Norris St,Ypsilanti,42.251129999999996,-83.61024,"Arbor Brewing Company Microbrewery, Arbor Brewing Co Microbrewery",MI
190 Orchard,New York,40.72216878,-73.98799,Arbucks' Bachelor Pad,NY
701 E Michigan Ave,Kalamazoo,42.294885,-85.572333,Arcadia Brewing Co,MI
103 Michigan Ave W,Battle Creek,42.32197332,-85.1853168,"Arcadia Brewing Co, Arcadia Brewing Company",MI
856 10th St,Arcata,40.870084000000006,-124.087298,Arcata Brews Llc,CA
Hunter Creek Loop,Gold Beach,42.38581,-124.41591000000001,Arch Rock Brewery,OR
544 N Main St,Watervliet,42.191303000000005,-86.259415,Arclight Brewery,MI
3222 Navasota Cir,San Antonio,29.64923,-98.43303,Arc's Wine Plus,TX
8401 Sandlewood Pl,Anchorage,61.145509,-149.85271699999998,Arctic Brewing Supply,AK
3200 W Leigh St,Richmond,37.5686012,-77.47218303,Ardent Craft Ales Brewery,VA
7123 Arlington Ave,Riverside,33.95112976,-117.44157309999999,AREA 51 Craft Brewery,CA
492 Armstrong St,Columbus,39.972256,-83.006035,Arena Wine and Spirits,OH
11314 S,Chicago,41.688522,-87.611994,Argus Brewery,IL
12345 Pauls Valley Rd,Austin,30.236459999999997,-98.01069,Argus Cidery,TX
10401 N 32nd St,Phoenix,33.581146999999994,-112.012906,Arizona Air Boutique,AZ
2730 E Jones Ave,Phoenix,33.410786,-112.02274399999999,Arizona Beverage Control,AZ
2990 E Washington,Phoenix,33.44853,-112.01776000000001,Arizona Brewery Tours,AZ
721 N Arizona Ave,Gilbert,33.36296939,-111.84116470000001,Arizona Wilderness Brewing Co.,AZ
650 E Steel Loop,Palmer,61.581731000000005,-149.105885,Arkose Brewery Llc,AK
415 Grand Ave,S San Francisco,37.6556423,-122.4131206,Armstrong Brewing Company,CA
133 Elm St,Brewer,44.767396000000005,-68.77327700000001,Army National Guard,ME
45 Atlantic Ave,Floral Park,40.724365,-73.705765,Arps Tavern,NY
1161 W Henri De Tonti Blvd,Tontitown,36.176851,-94.255521,Arrow Brewing Co,AR
1317 Park St,Pasorobles,35.628114000000004,-120.690467,Arroyo Robles Winery,CA
1171 Hooper Ave,Toms River,39.977222,-74.18229000000001,Artisan's Brewery and Italian Grill,NJ
642 S Washington St,Salt Lake City,40.755348,-111.8987,Art's Brewing Supplies,UT
12633 W 67th Pl,Arvada,39.819094,-105.140498,Arvada Beer Co,CO
1091 Lake Dr,Marietta,34.066479,-84.51822,Arylessence Inc,GA
49 Palm Ave,Sarasota,27.33479,-82.54281999999999,As Good As It Gets,FL
42000 Grand River Ave,Novi,42.477191999999995,-83.45922,Ascension Brewing Company,MI
1300 N Northlake Way,Seattle,47.648253000000004,-122.34245800000001,Asgard Tavern,WA
4699 Nautilus Ct S,Boulder,40.059835,-105.204935,Asher Brewing Co,CO
2 Wall St,Asheville,35.595116,-82.554726,Asheville Brewery Tours,NC
77 Coxe Ave,Asheville,35.59172,-82.55529,Asheville Pizza Brewing Company,NC
675 Merrimon Ave,Asheville,35.62188,-82.55436999999999,Asheville Pizza Company,NC
5637 Woerner Temple Rd,Dublin,40.08398,-83.14171999999999,Ashland & Highland,OH
2297 S County Road X,Mosinee,44.733528,-89.865264,Ashley Tavern,WI
1330 N Forest St,Bellingham,48.747977,-122.475494,Aslan Brewing Company,WA
257 Sunset Park Dr,Herndon,38.95637,-77.37498000000001,Aslin Brewery,VA
304 E Hopkins Ave,Aspen,39.19032670000001,-106.82032779999999,Aspen Brewing Co,CO
5116 E Fowler Ave,Tampa,28.0545,-82.3989,Aspirations Winery,FL
10620 Bailey Rd,Cornelius,35.4577666,-80.85505766,Ass Clown Brewing Company,NC
1196 Marine Dr,Astoria,46.189816,-123.83036299999999,Astoria Brewing Co Inc,OR
144 11th St,Astoria,46.19025869,-123.831425,Astoria Brewing Co.,OR
10 Central Ave,Brewer,44.767567,-68.77034,At Your Fingertips,ME
1145 N Chase St,Athens,33.969516999999996,-83.39293,Athens Brewery Tours,GA
2323 Defoor Hills Rd N W,Atlanta,33.8167,-84.4347,Atlanta Brewing Co,GA
15 Knox Rd,Bar Harbor,44.39951565,-68.33362474,Atlantic Brewing Company,ME
47 Madison Ave,Brewer,44.793172999999996,-68.751402,Atlantic Coaching,ME
332 Moody St,Waltham,42.370160999999996,-71.237034,Atlantic Coast Brewing Ltd,MA
8621 Quarry Rd,Manassas,38.75,-77.46,Atlantic Sun Control Manassas,VA
2052 W Virginia Ave N E,Washington,38.91479494,-76.98142648,Atlas Brew Works,DC
8350 S Sam Houston Pkwy E,Houston,29.601124,-95.27087,Attractions With A Spin,TX
237 Joseph Campau St,Detroit,42.33716188,-83.01855308,"Atwater Brewery, Atwater Block Brewery",MI
425 E Bruneau Ave,Kennewick,46.210752,-119.109928,Atwood's Tin Hat,WA
109 W Main St,Washington,38.559908,-91.011588,August Brewing Venture,MO
1860 Schell Rd,New Ulm,44.289097,-94.44995,August Schell Brewery,MN
5521 Water St,Augusta,38.570524,-90.88022,Augusta Brewing Co,MO
4386 S Broadway,Englewood,39.637037,-104.98776000000001,Aussie Pub,CO
3009 Industrial Ter,Austin,30.37953096,-97.73024211,Austin Beerworks,TX
4714 Mount Vernon Dr,Austin,30.218914,-97.7816,Austin Brewery Tours,TX
979 Springdale Rd,Austin,30.26346,-97.696106,Austin Eastciders,TX
1 Industrial Way,Portland,43.7027,-70.3201,Austin Street Brewery,ME
607 Trinity St,Austin,30.267565,-97.73893000000001,Austin Tour Company,TX
2000 Delaware Ave,Wilmington,39.760542,-75.56555300000001,Avenue Wines & Spirits,DE
5757 Arapahoe Ave,Boulder,40.014843,-105.218749,Avery Brewing,CO
5763 Arapahoe Ave,Boulder,40.014843,-105.218724,Avery Brewing Co,CO
209 Technology Park Ln,Fuquay-varina,35.61975,-78.80776999999999,Aviator Brewery,NC
120 Columbia St N E,Salem,44.959546,-123.03484499999999,Aycock Knives & Beer Supplies,OR
3211 Prospect Ave E,Cleveland,41.501609,-81.664621,B & A Variety Store,OH
675 Highway 72,Cherokee,34.716249,-87.694187,B & B Discount Beverages,AL
3021 S 13th St,Milwaukee,42.988642999999996,-87.928864,B & B Tap,WI
5247 Old Lansing Rd,Lansing,42.697715,-84.624706,B & I Bar,MI
2184 Manchester Rd,Akron,41.039302,-81.54651,B & K Root Beer Drive In,OH
15 N Minnesota St,Newulm,44.313835,-94.459631,B & L Bar Inc,MN
13789 Airline Hwy,Batonrouge,30.370125,-91.02914,B & M Graphics & Window Films,LA
10170 Black Creek Rd,Brewerton,43.251621,-76.206917,B & R Excavating LLC,NY
900 Anders Ln,Kemah,29.529096000000003,-95.02679599999999,B & S Brewers Guild,TX
541 Central Ave,Newark,40.749258000000005,-74.197285,B B Cafe,NJ
40 S Meridian Rd,Youngstown,41.099571000000005,-80.711147,B Bg's,OH
19481 Foggy Bottom Rd,Bluemont,39.074968,-77.832298,B Chord Brewing Co,VA
432 Wilson St,Brewer,44.783382,-68.74974,B D Marine,ME
204 E 6th St,Austin,30.267762,-97.741235,B D Riley's,TX
34414 Geneva Rd,Burlington,42.579840000000004,-88.22734,B D Village Inn,WI
334 Main St,Morrice,42.837984000000006,-84.177915,B J's Bar & Grill,MI
511 Hidden Pond Dr,Fordland,37.226814000000005,-92.942252,B K S Bears Brew Llc,MO
1505 Jarvis Saint Suite B,Ferndale,42.457166,-83.11374,B Nektar Meadery,MI
7401 White Ln,Bakersfield,35.318151,-119.085633,B Ryders Sports Bar and Grill,CA
601 2nd Ave,New Hyde Park,40.729376,-73.687951,B S E Marketing,NY
